"Sequence","Country Code","Geographic Area","Reference Date","Population Subgroup","Subpop Code","Sex","Age","Source ID","Comments","Data Type","Country","Site Name","Author","Year","Title","Publication Information","Virus Type","NO_CASES","NO_DEATHS","PREV_RATE","INC_RATE","Specimen Type","Test Type","SAMPSIZE"
"6","CHN","Liangshan Prefecture","2013","Patients","L","B","ALL","W0798","Provider-initiated HIV testing & counseling.  Included blood/blood products recipients, surgical & other pts.  BED-CEIA.","I","China, Mainland","Liangshan Prefecture","Wang, Q., Y. Yao, S. Yang, et al.",2017,"Estimation of HIV-1 Incidence with BED-CIAE among Clinical Patients in Liangshan Yi Autonomous Prefecture: 2011-2013","Chinese Journal of AIDS and STD, vol. 23, no. 5, pp. 402-404, 420.","HIV1","605","-1","-1.00","0.31","B","ELISA","1,948"
"6","CHN","Liangshan Prefecture","2012","Women","N","F","ALL","Y0363","BED-CEIA.","I","China, Mainland","Liangshan Prefecture","Yu, G., Y. Yao, S. Yang, et al.",2018,"HIV Recent Infection among Women in Liangshan Yi Autonomous Prefecture during 2011-2014","Chinese Journal of AIDS and STD, vol. 24, no. 1, pp. 70-73, 83.","HIV","347","-1","-1.00","0.28","B","ELISA","1,443"
"12","CHN","Five areas","2004-2008","IVDU & drug users","I","B","<25Y","D0512","288.1 person yrs. of observation.  Areas: Five counties/cities.  Located in Dehong prefecture, Yunnan Province.  Oct. 04 - Dec. 08.","I","China, Mainland","Five areas","Duan, S., L. F. Xiang, Y. C. Yang, et al.",2009,"Incidence and Risk Factors on HIV Infection among Injection Drug Users in Dehong Prefecture Area of Yunnan Province","Chinese Journal of Epidemiology, vol. 30, no. 12, p. 1226.","HIV","17","-1","-1.00","5.90","B","UNK","151"
"10","CHN","Five areas","2008","IVDU","I","B","ALL","D0512","71.4 person yrs. of observation.  Areas: Five counties/cities.  Located in Dehong prefecture, Yunnan Province.","I","China, Mainland","Five areas","Duan, S., L. F. Xiang, Y. C. Yang, et al.",2009,"Incidence and Risk Factors on HIV Infection among Injection Drug Users in Dehong Prefecture Area of Yunnan Province","Chinese Journal of Epidemiology, vol. 30, no. 12, p. 1226.","HIV","4","-1","-1.00","5.60","B","UNK","105"
"8","CHN","Beijing","2009-2012","Homosexual/bisexual STI pts.","H","M","ALL","L1108","10.8 person yrs. of observation.  Men having sex w/ men (MSM).  1 Sept. 09 - 30 Apr. 12.","I","China, Mainland","Beijing","Liu, G., H. Lu, J. Wang, et al.",2015,"Incidence of HIV and Syphilis among Men Who Have Sex with Men MSM in Beijing: An Open Cohort Study","PLoS One, vol. 10, no. 10, e0138232, <http://www.plosone.org>, accessed on October 5, 2015.","HIV","4","-1","-1.00","37.04","BW","ELISA*2, WB","12"
"9","CHN","Five areas","2008","IVDU & drug users","I","B","ALL","D0512","236.0 person yrs. of observation.  Areas: Five counties/cities.  Located in Dehong prefecture, Yunnan Province.  Breakdown by injection drug use status is provided.","I","China, Mainland","Five areas","Duan, S., L. F. Xiang, Y. C. Yang, et al.",2009,"Incidence and Risk Factors on HIV Infection among Injection Drug Users in Dehong Prefecture Area of Yunnan Province","Chinese Journal of Epidemiology, vol. 30, no. 12, p. 1226.","HIV","6","-1","-1.00","2.54","B","UNK","383"
"8","CHN","Five areas","2007","Drug users","I","B","ALL","D0512","270.2 person yrs. of observation.  Areas: Five counties/cities.  Located in Dehong prefecture, Yunnan Province.","I","China, Mainland","Five areas","Duan, S., L. F. Xiang, Y. C. Yang, et al.",2009,"Incidence and Risk Factors on HIV Infection among Injection Drug Users in Dehong Prefecture Area of Yunnan Province","Chinese Journal of Epidemiology, vol. 30, no. 12, p. 1226.","HIV","8","-1","-1.00","2.96","B","UNK","197"
"5","CHN","Liangshan Prefecture","2012","Individuals","N","B","ALL","Z0634","BED-CEIA.","I","China, Mainland","Liangshan Prefecture","Zhao, Q., Y. Gong, Q. Liao, et al.",2016,"Estimation on the HIV-1 Incidence in Liangshan Yi Autonomous Prefecture, Under BED Capture Enzyme Immunoassay, from 2011 to ...","Chinese Journal of Epidemiology, vol. 37, no. 8, pp. 1105-1107.","HIV","851","-1","-1.00","0.62","B","ELISA, WB","2,781"
"26","CHN","Dehong Prefecture","2006","IVDU","I","B","ALL","D0572","Located in Yunnan Province.  BED-CEIA.","I","China, Mainland","Dehong Prefecture","Duan, S., S. Shen, M. Bulterys, et al.",2010,"Estimation of HIV-1 Incidence among Five Focal Populations in Dehong, Yunnan: A Hard Hit Area Along a Major Drug Trafficking ...","BMC Public Health, vol. 10, pp. 1-8, <http://www.biomedcentral.com/1471-2458/10/180>, accessed on December 19, 2012.","HIV1","36","-1","-1.00","11.50","BW","ELISA*2, WB","189"
"6","CHN","Five areas","2007","IVDU & drug users","I","B","ALL","D0512","377.8 person yrs. of observation.  Areas: Five counties/cities.  Located in Dehong prefecture, Yunnan Province.  Breakdown by injection drug use status is provided.","I","China, Mainland","Five areas","Duan, S., L. F. Xiang, Y. C. Yang, et al.",2009,"Incidence and Risk Factors on HIV Infection among Injection Drug Users in Dehong Prefecture Area of Yunnan Province","Chinese Journal of Epidemiology, vol. 30, no. 12, p. 1226.","HIV","17","-1","-1.00","4.50","B","UNK","292"
"4","CHN","Xichang","2002-2005","IVDU","I","F","ALL","R0558","Located in Sichuan Province.  Age 18+.  Nov. 02 - 05.","I","China, Mainland","Xichang","Ruan, Y., G. Qin, L. Yin, et al.",2007,"Incidence of HIV, Hepatitis C and Hepatitis B Viruses among Injection Drug Users in Southwestern China: A 3-Year Follow-up Study","AIDS, vol. 21, suppl. 8, pp. S39-S46.","HIV","2","-1","-1.00","1.70","BW","ELISA, WB","41"
"4","CHN","Five areas","2004-2006","IVDU","I","B","ALL","D0512","311.6 person yrs. of  observation.  Areas: Five counties.  Located in Dehong prefecture, Yunnan Province.  Oct. 04 - Dec. 06.","I","China, Mainland","Five areas","Duan, S., L. F. Xiang, Y. C. Yang, et al.",2009,"Incidence and Risk Factors on HIV Infection among Injection Drug Users in Dehong Prefecture Area of Yunnan Province","Chinese Journal of Epidemiology, vol. 30, no. 12, p. 1226.","HIV","20","-1","-1.00","6.42","B","UNK","144"
"31","CHN","Dehong Prefecture","2006","Partners of HIV+ individuals","O","B","ALL","D0572","Located in Yunnan Province.  BED-CEIA.","I","China, Mainland","Dehong Prefecture","Duan, S., S. Shen, M. Bulterys, et al.",2010,"Estimation of HIV-1 Incidence among Five Focal Populations in Dehong, Yunnan: A Hard Hit Area Along a Major Drug Trafficking ...","BMC Public Health, vol. 10, pp. 1-8, <http://www.biomedcentral.com/1471-2458/10/180>, accessed on December 19, 2012.","HIV1","9","-1","-1.00","3.40","BW","ELISA*2, WB","80"
"11","CHN","Eight cities","2010-2013","MSM & bisexuals","H","M","<31Y","P0706","Sentinel surveillance.  Cities: Honghu, Huangshi, Jingzhou, Qianjiang, Suizhou, Wuhan, Xiangyang, & Xiaogan.  Located in Hubei Province.  MSM=Men having sex w/ men.  BED-CEIA.","I","China, Mainland","Eight cities","Peng, T., G. Peng, K. Yang, et al.",2015,"Recent HIV Infection among Men Who Have Sex with Men in Hubei: 2010-2013","Chinese Journal of Epidemiology, vol. 36, no. 2, pp. 162-166.","HIV","-1","-1","-1.00","2.14","B","ELISA","N/A"
"9","CHN","Yuxi","2007","IVDU","I","B","ALL","G0656","Located in Yunnan Province.","I","China, Mainland","Yuxi","Gao, L. M., J. X. Zhao, C. Y. Guo, et al.",2012,"Comparison of Sentinel Surveillance, BED-CEIA Method and HIV Negative Cohort Follow-Up in Determining HIV-1 Prevalence and ...","Chinese Journal of Disease Control and Prevention, vol. 16, no. 4, pp. 360-362.","HIV1","0","-1","-1.00","0.00","B","UNK","388"
"1","CHN","Liuzhou","2014","MSM & bisexuals","H","M","ALL","L1229","1000.5 person yrs. of observation.  MSM=Men having sex w/ men.  Started in June 14.","I","China, Mainland","Liuzhou","Liu, X., M. Li, D. Wei, et al.",2017,"Cohort Study on the Influential Factors on HIV Infection among Men Who Have Sex with Men in Liuzhou City","Chinese Journal of Disease Control and Prevention, vol. 21, no. 12, pp. 1232-1235.","HIV","7","-1","-1.00","0.70","B","UNK","369"
"33","CHN","Ning Ming county (rural)","2007","IVDU","I","B","ALL","H0463","Sites: Ning Ming City, Aidian, Shilang, & Tongmian.  48 mos. survey wave.  BED-CEIA.","I","China, Mainland","Four sites","Hammett, T. M., D. C. des Jarlais, R. Kling, et al.",2012,"Controlling HIV Epidemics among Injection Drug Users: Eight Years of Cross-Border HIV Prevention Interventions in Vietnam and ...","PLoS One, vol. 7, issue 8, e43141, pp. 1-13, <http://www.plosone.org>, accessed on January 13, 2014.","HIV","-1","-1","-1.00","0.01","BW","ELISA*2, WB","238"
"2","CHN","Kaiyuan","2006-2007","Sex workers","P","F","ALL","X0034","Located in Yunnan Province.  Recruited from local entertainment venues.  Followed for 12 mos.  Age 16+.  Mar. 06 - Apr. 07.  BED-CEIA.","I","China, Mainland","Kaiyuan","Xu, J., H. Wang, Y. Jiang, et al.",2010,"Application of the BED Capture Enzyme Immunoassay for HIV Incidence Estimation among Female Sex Workers in Kaiyuan City ...","International Journal of Infectious Diseases, vol. 14, no. 7, pp. e608-e612.","HIV","4","-1","-1.00","3.40","BW","ELISA, WB","475"
"3","CHN","Beijing","2011-2017","MSM & bisexuals","H","M","19Y25Y","S1984","Only the incidence rate was given.  503.40 person yrs. of observation.  Attending VCT center.  MSM=Men having sex w/ men.  July 11 - Aug. 17.","I","China, Mainland","Beijing Jingcheng Venereal Hospital","Sun, X., C. Wang, K. Zhao, et al.",2020,"HIV Seroconversion and Types of Relationships among Men Who Have Sex with Men: A Cohort Study in China","Journal of Acquired Immune Deficiency Syndrome, vol. 83, no. 4, pp. 365-372, <https://doi.org/10.1097/QAI.0000000000002264>, accessed on March 3, 2020.","HIV","-1","-1","-1.00","4.37","B","RAPID, WB","N/A"
"6","CHN","Beijing","2011","MSM & bisexuals","H","M","ALL","L1237","MSM=Men having sex w/ men.  Sept. - Dec. 11.  BED-CEIA.","I","China, Mainland","Beijing","Li, X., H. Lu, C. Cox, et al.",2014,"Changing the Landscape of the HIV Epidemic among MSM in China: Results from Three Consecutive Respondent-Driven Sampling Surveys from 2009 to 2011","BioMed Research International, vol. 2014, article id 563517, <http://dx.doi.org/10.1155/2014/563517>, accessed on March 1, 2017.","HIV","11","-1","-1.00","5.80","BW","ELISA","30"
"14","CHN","Shenzhen","2013-2015","MSM","H","M","<25Y","L1224","MSM=Men having sex w/ men.  BED-CEIA.","I","China, Mainland","Shenzhen","Liu, S., J. Zhao, L. Chen, et al.",2017,"HIV Incidence among Men Who Have Sex with Men in Shenzhen: 2013-2015","China Tropical Medicine, vol. 17, no. 8, pp. 774-777.","HIV1","10","-1","-1.00","3.51","B","ELISA","33"
"3","CHN","Beijing","2009-2010","Homosexual/bisexual STI pts.","H","M","ALL","M1675","52.10 person yrs. of observation.  Men having sex w/ men (MSM).  Migrants.  W/ syphilis.","I","China, Mainland","Beijing","Mao, H., W. Ma, H. Lu, et al.",2014,"High Incidence of HIV and Syphilis among Migrant Men Who Have Sex with Men in Beijing, China: A Prospective Cohort Study","BMJ Open, vol. 4, e005351, pp. 1-10, <http://bmjopen.bmj.com>, accessed on October 7, 2015.","HIV","-1","-1","-1.00","11.52","BW","ELISA, WB","N/A"
"3","CHN","Beijing","2006-2008","MSM & bisexuals","H","M","25Y62Y","L0985","142.45 person yrs. of observation.  MSM=Men having sex w/ men.  From Nov. 06.","I","China, Mainland","Beijing","Li, D., Y. Jia, Y. Ruan, et al.",2010,"Correlates of Incident Infections for HIV, Syphilis, and Hepatitis B Virus in a Cohort of Men Who Have Sex with Men in Beijing","AIDS Patient Care and STDs, vol. 24, no. 9, pp. 595-602.","HIV","-1","-1","-1.00","3.51","BW","ELISA, WB","N/A"
"1","CHN","Three areas","2013-2015","Adults","N","M","ALL","Z0660","413549 person yrs. of observation.  Located in Guangxi Autonomous Region.  Age 20+.  Breakdown by age is provided.","I","China, Mainland","Binyang & Luzhai counties, Qintang district","Zhu, Q., H. Chen, X. Wu, et al.",2017,"HIV/AIDS Epidemic and Related Influencing Factors of HIV Infection among the Middle-Aged and Elderly Male Population","Chinese Journal of AIDS and STD, vol. 23, no. 11, pp. 1006-1009.","HIV","180","-1","-1.00","0.04","B","UNK","241,195"
"21","CHN","Urumqi","2002-2003","IVDU sex workers","I","F","ALL","Z0286","8 person yrs. of observation.  Followup at 6 & 12 mos.  Located in Xinjiang Autonomous Region.","I","China, Mainland","Urumqi","Zhang, Y., H. Shan, J. Trizzino, et al.",2007,"HIV Incidence, Retention Rate, and Baseline Predictors of HIV Incidence and Retention in a Prospective Cohort Study of ...","International Journal of Infectious Diseases, vol. 11, pp. 318-323.","HIV1","0","-1","-1.00","0.00","BW","ELISA, WB","8"
"9","CHN","Urumqi","2014","Homosexuals/bisexuals","H","M","ALL","W0703","Sentinel surveillance.  Men having sex w/ men (MSM).  BED-CEIA.","I","China, Mainland","Three sites","Wang, Y., X. Zhao, Y. Ma, et al.",2016,"HIV Infection among Men Who Have Sex with Men, Urumqi","Modern Preventive Medicine, vol. 43, no. 7, pp. 1315-1319.","HIV1","26","-1","-1.00","4.36","BW","ELISA","58"
"1","CHN","Nanning","2009-2010","MSM","H","M","ALL","L1062","75.4 person yrs. of observation.  Located in Guangxi Autonomous Region.  6 mos. follow-up.  MSM=Men having sex w/ men.  Age 18+.  Rapid test: Colloidal Gold.","I","China, Mainland","Nanning","Lan, G., W. Liu, F. Liang, et al.",2013,"Incidences of HIV, Syphilis and HSV-2 among Men Who Have Sex with Men in Nanning City: A Follow-Up Study","Chinese Journal of Public Health, vol. 29, no. 2, pp. 175-178.","HIV","-1","-1","-1.00","1.90","BW","RAPID, WB","107"
"22","CHN","Xiangyang","2010-2013","MSM & bisexuals","H","M","ALL","P0706","Sentinel surveillance.  Located in Hubei Province.  MSM=Men having sex w/ men.  BED-CEIA.","I","China, Mainland","Xiangyang","Peng, T., G. Peng, K. Yang, et al.",2015,"Recent HIV Infection among Men Who Have Sex with Men in Hubei: 2010-2013","Chinese Journal of Epidemiology, vol. 36, no. 2, pp. 162-166.","HIV","25","-1","-1.00","3.37","B","ELISA","40"
"2","CHN","Yuxi","2000-2001","IVDU","I","B","ALL","Z0357","Sentinel surveillance.  Located in Yunnan Province.  BED-CEIA.","I","China, Mainland","Yuxi","Zhao, J. X., L. Cheng, L. M. Gao, et al.",2012,"Application of BED-CEIA in Estimation Analysis of Incidence and Trends of HIV-1 among IVDUs in Yuxi City, Yunnan Province","Modern Preventive Medicine, vol. 39, no. 7, pp. 1775-1777.","HIV1","8","-1","-1.00","8.87","BW","WB","55"
"18","CHN","Urumqi","2002-2003","IVDU sex workers","I","B","ALL","Z0286","55.5 person yrs. of observation.  Followup at 6 & 12 mos.  Located in Xinjiang Autonomous Region.  Breakdown by sex is provided.","I","China, Mainland","Urumqi","Zhang, Y., H. Shan, J. Trizzino, et al.",2007,"HIV Incidence, Retention Rate, and Baseline Predictors of HIV Incidence and Retention in a Prospective Cohort Study of ...","International Journal of Infectious Diseases, vol. 11, pp. 318-323.","HIV1","8","-1","-1.00","14.40","BW","ELISA, WB","57"
"4","CHN","Yuxi","2002-2003","IVDU","I","B","ALL","Z0357","Sentinel surveillance.  Located in Yunnan Province.  BED-CEIA.","I","China, Mainland","Yuxi","Zhao, J. X., L. Cheng, L. M. Gao, et al.",2012,"Application of BED-CEIA in Estimation Analysis of Incidence and Trends of HIV-1 among IVDUs in Yuxi City, Yunnan Province","Modern Preventive Medicine, vol. 39, no. 7, pp. 1775-1777.","HIV1","4","-1","-1.00","3.61","BW","WB","37"
"4","CHN","Kunming","2009-2010","MSM","H","M","30Y+","Z0394","Located in Yunnan Province.  MSM=Men having sex w/ men.","I","China, Mainland","Kunming","Zhang, R. Z., W. Y. Zhang, Y. F. Li, et al.",2012,"HIV New Infection Cohort Study among Men Who Have Sex with Men in Kunming City","Chinese Journal of Preventive Medicine, vol. 46, no. 10, pp. 955-957.","HIV","-1","-1","-1.00","2.10","BW","RAPID*2, ELISA, WB","N/A"
"5","CHN","Beijing","2006-2008","MSM & bisexuals","H","M","ALL","L0985","347.50 person yrs. of observation.  MSM=Men having sex w/ men.  No syphilis.  From Nov. 06.","I","China, Mainland","Beijing","Li, D., Y. Jia, Y. Ruan, et al.",2010,"Correlates of Incident Infections for HIV, Syphilis, and Hepatitis B Virus in a Cohort of Men Who Have Sex with Men in Beijing","AIDS Patient Care and STDs, vol. 24, no. 9, pp. 595-602.","HIV","-1","-1","-1.00","1.73","BW","ELISA, WB","N/A"
"24","CHN","Zhejiang Province","2010","Spouses of HIV+ individuals","O","F","ALL","C1476","1 Jan. - 31 Dec. 10.","I","China, Mainland","Zhejiang Province","Chen, L., X. Pan, J. Yang, et al.",2015,"Incidence Rate of HIV Transmission in HIV Discordant Couples in Zhejiang Province: 2009-2013","Chinese Journal of Epidemiology, vol. 36, no. 8, pp. 857-861.","HIV","-1","-1","-1.00","0.00","BW","UNK","N/A"
"18","CHN","Shenzhen","2013-2015","MSM","H","M","ALL","L1224","MSM=Men having sex w/ men.  No commercial sex w/ males.  BED-CEIA.","I","China, Mainland","Shenzhen","Liu, S., J. Zhao, L. Chen, et al.",2017,"HIV Incidence among Men Who Have Sex with Men in Shenzhen: 2013-2015","China Tropical Medicine, vol. 17, no. 8, pp. 774-777.","HIV1","58","-1","-1.00","9.91","B","ELISA","165"
"6","CHN","Liangshan Prefecture","2013","Spouses of HIV+ individuals","O","B","ALL","L1138","Located in Sichuan Province.  BED-CEIA.","I","China, Mainland","Liangshan Prefecture","Liang, P., Y. Gong, Q. Liao, et al.",2016,"Estimation of HIV-1 Incidence with BED-CEIA among Multiple Populations in Liangshan Yi Autonomous Prefecture: 2013","Modern Preventive Medicine, vol. 43, no. 9, pp. 1675-1678.","HIV","9","-1","-1.00","0.26","B","ELISA","51"
"9","CHN","Dehong Prefecture","2004-2009","IVDU","I","B","<26Y","Y0293","Only the incidence rate was given.  Located in Yunnan Province.  Recruited from drug rehabilitation centers.","I","China, Mainland","Dehong Prefecture","Yang, Y., Z. Jin, R. Tang, et al.",2016,"A Cohort Study of HIV Incidence among Injection Drug Users in Dehong Prefecture, Yunnan Province","Chinese Journal of Preventive Medicine, vol. 50, no. 11, pp. 966-970.","HIV","-1","-1","-1.00","3.00","BW","WB","N/A"
"16","CHN","Shenzhen","2013-2015","MSM","H","M","30Y+","L1224","MSM=Men having sex w/ men.  BED-CEIA.","I","China, Mainland","Shenzhen","Liu, S., J. Zhao, L. Chen, et al.",2017,"HIV Incidence among Men Who Have Sex with Men in Shenzhen: 2013-2015","China Tropical Medicine, vol. 17, no. 8, pp. 774-777.","HIV1","31","-1","-1.00","11.31","B","ELISA","85"
"5","CHN","Chengdu","2016-2017","MSM & bisexuals","H","M","ALL","Y0393","Only the incidence rate was given.  2245 person yrs. of observation.  Located in southwest China.  MSM=Men having sex w/ men.  Age 16+.","I","China, Mainland","Chengdu Tongle Health Consulting Service Center","You, X., S. Gilmour, W. Cao, et al.",2021,"HIV Incidence and Sexual Behavioral Correlates among 4578 Men Who Have Sex with Men in Chengdu, China: A Retrospective Cohort Study","BMC Public Health, vol. 21, article no. 802, <https://doi.org/10.1186/s12889-021-10835-4>, accessed on April 13, 2022.","HIV","-1","-1","-1.00","5.43","B","UNK","N/A"
"12","CHN","Shenzhen","2014","MSM","H","M","ALL","L1224","MSM=Men having sex w/ men.  BED-CEIA.","I","China, Mainland","Shenzhen","Liu, S., J. Zhao, L. Chen, et al.",2017,"HIV Incidence among Men Who Have Sex with Men in Shenzhen: 2013-2015","China Tropical Medicine, vol. 17, no. 8, pp. 774-777.","HIV1","26","-1","-1.00","9.45","B","ELISA","68"
"2","CHN","Ningxia Autonomous Region","2011","MSM","H","M","ALL","Y0367","Sentinel surveillance.  MSM=Men having sex w/ men.  BED-CEIA.","I","China, Mainland","Ningxia Autonomous Region","Yang, D., Z. Wu, L. Zhao, et al.",2012,"Estimation of HIV Incidence of MSM with BED Incidence Capture Enzyme Immunoassay in Ningxia","Ningxia Medical Journal, vol. 34, no. 7, p. 611, <http://nxyx.paperopen.com>, accessed on October 13, 2016.","HIV1","5","-1","-1.00","2.76","B","ELISA","13"
"29","CHN","Nine cities/ prefectures","2014","MSM","H","M","ALL","Y0362","Sentinel surveillance.  MSM=Men having sex w/ men.  Located in Sichuan Province.  Apr. - June 14.  BED-CEIA.","I","China, Mainland","Nine sites","Yang, H., L. Su, L. Ye, et al.",2017,"Incidence Rates of HIV-1 Epidemics among 4 High Risk Groups in Sichuan Province during 2011-2015","Chinese Journal of Epidemiology, vol. 38, no. 12, pp. 1649-1654.","HIV1","112","-1","-1.00","6.62","B","ELISA","381"
"10","CHN","Beijing","2009-2010","MSM & bisexuals","H","M","ALL","L1108","MSM=Men having sex w/ men.  First year of study.","I","China, Mainland","Beijing","Liu, G., H. Lu, J. Wang, et al.",2015,"Incidence of HIV and Syphilis among Men Who Have Sex with Men MSM in Beijing: An Open Cohort Study","PLoS One, vol. 10, no. 10, e0138232, <http://www.plosone.org>, accessed on October 5, 2015.","HIV","-1","-1","-1.00","5.90","BW","ELISA*2, WB","N/A"
"6","CHN","Liangshan Prefecture","2012","Various groups","O","B","ALL","Y0348","Located in Sichuan Province.  Groups included: blood/ blood products recipients, surgical & other pts.  Age range 15-24 yrs.  BED-CEIA.","I","China, Mainland","Liangshan Prefecture","Yang, S., Q. Wang, Y. Yao, et al.",2017,"HIV-1 Incidence Surveillance among Young People Aged between 15-24 Years in Liangshan Yi Autonomous Prefecture during 2011-2014","Chinese Journal of AIDS and STD, vol. 23, no. 9, pp. 829-832.","HIV1","190","-1","-1.00","0.49","BW","ELISA","672"
"31","CHN","Dehong Prefecture","2014","IVDU","I","B","36Y45Y","Y0293","Only the incidence rate was given.  Located in Yunnan Province.  Recruited from drug rehabilitation centers.","I","China, Mainland","Dehong Prefecture","Yang, Y., Z. Jin, R. Tang, et al.",2016,"A Cohort Study of HIV Incidence among Injection Drug Users in Dehong Prefecture, Yunnan Province","Chinese Journal of Preventive Medicine, vol. 50, no. 11, pp. 966-970.","HIV","-1","-1","-1.00","0.00","BW","WB","N/A"
"17","CHN","Dehong Prefecture","2011","IVDU","I","B","<26Y","Y0293","Only the incidence rate was given.  Located in Yunnan Province.  Recruited from drug rehabilitation centers.","I","China, Mainland","Dehong Prefecture","Yang, Y., Z. Jin, R. Tang, et al.",2016,"A Cohort Study of HIV Incidence among Injection Drug Users in Dehong Prefecture, Yunnan Province","Chinese Journal of Preventive Medicine, vol. 50, no. 11, pp. 966-970.","HIV","-1","-1","-1.00","0.00","BW","WB","N/A"
"6","CHN","Tianjin","2012","MSM","H","M","ALL","L1010","VCT attendees.  MSM=Men having sex w/ men.  1 Jan. - 30 June 12.  BED-CEIA.","I","China, Mainland","Tianjin","Liu, Z., M. Yu, M. Zheng, et al.",2013,"A Study on Early Detection of HIV Infection among MSM in Tianjin","Chinese Journal of AIDS and STD, vol. 19, no. 7, pp. 494-496.","HIV","19","-1","-1.00","2.98","BW","ELISA, WB","56"
"15","CHN","Dehong Prefecture","2010","IVDU","I","B","36Y45Y","Y0293","Only the incidence rate was given.  Located in Yunnan Province.  Recruited from drug rehabilitation centers.","I","China, Mainland","Dehong Prefecture","Yang, Y., Z. Jin, R. Tang, et al.",2016,"A Cohort Study of HIV Incidence among Injection Drug Users in Dehong Prefecture, Yunnan Province","Chinese Journal of Preventive Medicine, vol. 50, no. 11, pp. 966-970.","HIV","-1","-1","-1.00","1.70","BW","WB","N/A"
"10","CHN","Tianjin","2011-2013","MSM","H","M","ALL","Y0279","494.9 person yrs. of observation.  Recruited from a bathhouse.  MSM=Men having sex w/ men.  Not drug users.  Apr. 11 - Sept. 13.  Rapid tests: A-WARE, ACON/SD Bioline.","I","China, Mainland","Tianjin","Yu, M., G. Jiang, Z. Dou, et al.",2016,"HIV Infection Incidence among Men Who Have Sex with Men in Common Bathing Pool in Tianjin: A Cohort Study","Chinese Journal of Epidemiology, vol. 37, no. 3, pp. 362-366.","HIV","-1","-1","-1.00","10.31","BW","RAPID*2, WB","N/A"
"5","CHN","Beijing","2010","MSM","H","M","ALL","L0973","Site: Beijing Jingcheng Dermatology Hospital.  At 6 mos. follow-up.  MSM=Men having sex w/ men.","I","China, Mainland","Beijing Jingcheng Dermatology Hospital","Li, D., Y. Gao, M. Yu, et al.",2012,"Study on the Incidence of HIV and Associated Risk Factors Through a Prospective Cohort among Men Who Have Sex with Men in ...","Chinese Journal of Epidemiology, vol. 33, no. 7, pp. 663-666.","HIV","-1","-1","-1.00","5.47","BW","ELISA, WB","N/A"
"5","CHN","Dehong Prefecture","2009-2014","Spouses of HIV+ individuals","O","B","16Y29Y","Y0277","1586.58 person yrs. of observation.  Located in Yunnan Province.  2009 - 31 Dec. 14.","I","China, Mainland","Dehong Prefecture","Yang, Y., Y. Zhang, Y. Cao, et al.",2016,"Incidence and Risk Factors of HIV Infection among Sero-Negative Spouses of People Living with HIV/AIDS in Dehong ...","Chinese Journal of Epidemiology, vol. 37, no. 4, pp. 512-516.","HIV","12","-1","-1.00","0.76","BW","WB","491"
"5","CHN","Changzhou","2009-2010","MSM & bisexuals","H","M","ALL","Y0250","188.1 person yrs. of observation.  Located in Jiangsu Province.  Follow up at 6 mos.  Age 18+.  MSM=Men having sex w/ men.  July 09 - Dec. 10.","I","China, Mainland","Changzhou","Yang, H., W. Tang, Z. Xiao, et al.",2014,"Worsening Epidemic of HIV and Syphilis among Men Who Have Sex with Men in Jiangsu Province, China","Clinical Infectious Diseases, vol. 58, no. 12, pp. 1753-1759, <http://cid.oxfordjournals.org>, accessed on May 7, 2015.","HIV","26","-1","-1.00","13.82","B","RAPID, WB","272"
"9","CHN","Nanyang","2010-2011","Homosexual/bisexual STI pts.","H","M","ALL","Z0430","40.25 person yrs. of observation.  Located in Henan Province.  Men having sex w/ men (MSM).  Had syphilis.  Jan. 10 - Dec. 11.","I","China, Mainland","Nanyang","Zhang, T., J. Shi, F. Chen, et al.",2013,"Study on Incidence if New HIV Infection among Men Who Have Sex with Men in Nanyang","Chinese Journal of AIDS and STD, vol. 19, no. 1, pp. 39-42.","HIV","4","-1","-1.00","9.94","BW","ELISA, WB","29"
"30","CHN","Four sites","2004","IVDU","I","B","ALL","D0557","Located in Ningming county, Guangxi Autonomous Region.  New drug injectors.  Tested at 36 mos.  June 05.","I","China, Mainland","Four sites","Des Jarlais, D. C., R. Kling, T. M. Hammett, et al.",2007,"Reducing HIV Infection among New Injecting Drug Users in the China-Vietnam Cross Border Project","AIDS, vol. 21, suppl. 8, pp. S109-S114.","HIV","-1","-1","-1.00","0.00","BW","ELISA*2, WB","25"
"6","CHN","Henan Province","2006","Spouses of HIV+ individuals","O","F","ALL","L0855",,"I","China, Mainland","Henan Province","Li, J., Y. M. Ma, D. Y. Sun, et al.",2012,"Analysis on Sero-Conversion of HIV Discordant Spouses in Henan Province in 2006-2010","Chinese Journal of Epidemiology, vol. 33, no. 1, pp. 71-74.","HIV","52","-1","-1.00","1.88","B","UNK","3,045"
"23","CHN","14 areas","2004-2005","Pregnant women","G","F","ALL","Y0232","Areas: 14 cities/counties.  15 sentinel sites.  BED-CEIA.","I","China, Mainland","15 sites","Yang, L., Y. Ma, H. Luo, et al.",2008,"A Dynamic Analysis on Incidence and Trend of HIV-1 Epidemics among Intravenous Drug Users, Attendants at the STD Clinics and ...","Chinese Journal of Epidemiology, vol. 29, no. 12, pp. 1204-1207.","HIV1","15","-1","-1.00","0.10","BW","ELISA","95"
